Season-Episode,painting_title,colors,color_hex,youtube_src
S11E09,Winter Barn,Alizarin Crimson | Dark Sienna | Midnight Black | Phthalo Blue | Titanium White | Van Dyke Brown,#4E1500 | #5F2E1F | #000000 | #0C0040 | #FFFFFF | #221B15,https://www.youtube.com/embed/_xkn0ceDreo
S11E10,Sunset over the Waves,Alizarin Crimson | Black Gesso | Bright Red | Cadmium Yellow | Dark Sienna | Indian Yellow | Midnight Black | Phthalo Blue | Titanium White | Van Dyke Brown,#4E1500 | #000000 | #DB0000 | #FFEC00 | #5F2E1F | #FFB800 | #000000 | #0C0040 | #FFFFFF | #221B15,https://www.youtube.com/embed/c4b_B2F1eZg
S11E11,Golden Glow,Cadmium Yellow | Dark Sienna | Indian Yellow | Liquid Clear | Prussian Blue | Titanium White | Van Dyke Brown | Yellow Ochre,#FFEC00 | #5F2E1F | #FFB800 | #FFFFFF | #021E44 | #FFFFFF | #221B15 | #C79B00,https://www.youtube.com/embed/aA8RhtaWACA
S11E12,Roadside Barn,Alizarin Crimson | Bright Red | Cadmium Yellow | Dark Sienna | Indian Yellow | Midnight Black | Prussian Blue | Sap Green | Titanium White | Van Dyke Brown | Yellow Ochre,#4E1500 | #DB0000 | #FFEC00 | #5F2E1F | #FFB800 | #000000 | #021E44 | #0A3410 | #FFFFFF | #221B15 | #C79B00,https://www.youtube.com/embed/vJpKhiXvXdA
S11E13,Happy Accident,Alizarin Crimson | Bright Red | Cadmium Yellow | Dark Sienna | Indian Yellow | Midnight Black | Prussian Blue | Sap Green | Titanium White | Van Dyke Brown | Yellow Ochre,#4E1500 | #DB0000 | #FFEC00 | #5F2E1F | #FFB800 | #000000 | #021E44 | #0A3410 | #FFFFFF | #221B15 | #C79B00,https://www.youtube.com/embed/Fw6odlNp7_8
S12E01,Golden Knoll,Cadmium Yellow | Dark Sienna | Indian Yellow | Midnight Black | Titanium White | Van Dyke Brown | Yellow Ochre,#FFEC00 | #5F2E1F | #FFB800 | #000000 | #FFFFFF | #221B15 | #C79B00,https://www.youtube.com/embed/-O0Bs65eN5w
S12E02,Mountain Reflections,Alizarin Crimson | Bright Red | Cadmium Yellow | Dark Sienna | Indian Yellow | Midnight Black | Phthalo Blue | Prussian Blue | Sap Green | Titanium White | Van Dyke Brown | Yellow Ochre,#4E1500 | #DB0000 | #FFEC00 | #5F2E1F | #FFB800 | #000000 | #0C0040 | #021E44 | #0A3410 | #FFFFFF | #221B15 | #C79B00,https://www.youtube.com/embed/rzYpa4XGSnA
S12E03,Secluded Mountain,Alizarin Crimson | Bright Red | Cadmium Yellow | Dark Sienna | Indian Yellow | Midnight Black | Phthalo Blue | Phthalo Green | Prussian Blue | Sap Green | Titanium White | Van Dyke Brown | Yellow Ochre,#4E1500 | #DB0000 | #FFEC00 | #5F2E1F | #FFB800 | #000000 | #0C0040 | #102E3C | #021E44 | #0A3410 | #FFFFFF | #221B15 | #C79B00,https://www.youtube.com/embed/3PZabdohLso
S12E04,Bright Autumn Trees,Alizarin Crimson | Bright Red | Cadmium Yellow | Dark Sienna | Indian Yellow | Liquid Black | Midnight Black | Phthalo Green | Prussian Blue | Sap Green | Titanium White | Van Dyke Brown | Yellow Ochre,#4E1500 | #DB0000 | #FFEC00 | #5F2E1F | #FFB800 | #000000 | #000000 | #102E3C | #021E44 | #0A3410 | #FFFFFF | #221B15 | #C79B00,https://www.youtube.com/embed/aR-C3h5zURM
S12E05,Black Seascape,Black Gesso | Bright Red | Cadmium Yellow | Dark Sienna | Midnight Black | Phthalo Blue | Phthalo Green | Titanium White | Van Dyke Brown,#000000 | #DB0000 | #FFEC00 | #5F2E1F | #000000 | #0C0040 | #102E3C | #FFFFFF | #221B15,https://www.youtube.com/embed/P_aCan4cBwc
S12E06,Steep Mountains,Alizarin Crimson | Bright Red | Cadmium Yellow | Dark Sienna | Indian Yellow | Midnight Black | Phthalo Blue | Prussian Blue | Sap Green | Titanium White | Van Dyke Brown | Yellow Ochre,#4E1500 | #DB0000 | #FFEC00 | #5F2E1F | #FFB800 | #000000 | #0C0040 | #021E44 | #0A3410 | #FFFFFF | #221B15 | #C79B00,https://www.youtube.com/embed/fRK8_ioYWw4
S12E07,Quiet Mountains River,Alizarin Crimson | Bright Red | Cadmium Yellow | Dark Sienna | Indian Yellow | Midnight Black | Phthalo Blue | Prussian Blue | Sap Green | Titanium White | Van Dyke Brown | Yellow Ochre,#4E1500 | #DB0000 | #FFEC00 | #5F2E1F | #FFB800 | #000000 | #0C0040 | #021E44 | #0A3410 | #FFFFFF | #221B15 | #C79B00,https://www.youtube.com/embed/Leiw-FtADZc
S12E08,Evening Waterfall,Black Gesso | Bright Red | Cadmium Yellow | Dark Sienna | Indian Yellow | Midnight Black | Phthalo Blue | Sap Green | Titanium White | Van Dyke Brown | Yellow Ochre,#000000 | #DB0000 | #FFEC00 | #5F2E1F | #FFB800 | #000000 | #0C0040 | #0A3410 | #FFFFFF | #221B15 | #C79B00,https://www.youtube.com/embed/PutvF_P4588
